emag,filter,instrument,mag,mjd,wave,mag0,tmax_rf,tmax_of,mag0_abs,freq,fratio,fratio_unc,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date
0.15,g,P48,20.83,58580.4421,4814.0,20.749574648487016,-2.700381866245843,-2.75789999999688,-14.08709194683546,622751262982966.2,431356.9291167732,59594.16208463827,1.5662570096230035e-14,2.1638640252932157e-15,9.753885308986494,1.3475490546747553,0.0020261498356847723,0.0002799229444692055,2.424278518118528e+37,3.3492645462512504e+36,2019-04-07T10:36:37.440000018,2019 04 07
0.14,r,P48,20.89,58580.4842,6421.8,20.832741357745384,-2.659159894250588,-2.7157999999981257,-14.003925237577093,466835557008938.3,399549.0432293807,51519.75756816031,1.4507625759658812e-14,1.870682397299901e-15,6.772675552387543,0.8733010589303153,0.0010546381937132179,0.00013599007426738847,1.2618695184219619e+37,1.6271146877563116e+36,2019-04-07T11:37:14.879999910,2019 04 07
0.05,r,P48,19.19,58581.4308,6421.8,19.132741357745385,-1.732301968075179,-1.7691999999951804,-15.703925237577092,466835557008938.3,1912361.9544830017,88067.52257603036,6.943786256727779e-14,3.1977317447356623e-15,32.416063249105235,1.492814880218837,0.005047815760239377,0.00023246050643415195,6.039687241014266e+37,2.781378761501157e+36,2019-04-08T10:20:21.120000165,2019 04 08
0.03,g,P48,18.81,58581.4807,4814.0,18.729574648487016,-1.6834426711025356,-1.7192999999970198,-16.10709194683546,622751262982966.2,2772278.001229383,76600.87199119327,1.006614142246389e-13,2.7813776620002277e-15,62.6870228420454,1.7321064518432516,0.013021816128385003,0.00035980607641114494,1.5580540269502832e+38,4.305062371842078e+36,2019-04-08T11:32:12.480000006,2019 04 08
0.17,i,P48,19.44,58581.5163,7883.1,19.39809195888815,-1.6485851365848747,-1.6836999999941327,-15.438574636434328,380297672235541.8,1497717.3284763286,234506.26839665536,5.4382116196975496e-14,8.514922605482557e-15,20.681392200952537,3.238205246130811,0.0026235100659578767,0.0004107781515052214,3.1390171560633323e+37,4.9149407949387155e+36,2019-04-08T12:23:28.320000255,2019 04 08
0.01,g,LT+IOO,18.59,58582.1544,4795.5,18.509165092090456,-1.0237932047367555,-1.0455999999976484,-16.32750150323202,625153702429360.8,3396257.428113853,31280.68690378102,1.23318107214814e-13,1.1358017414762888e-15,77.09277130192184,0.7100506639096176,0.01607606533248292,0.00014806603355429414,1.9234934729413426e+38,1.7716029589064323e+36,2019-04-09T03:42:20.159999952,2019 04 09
0.02,r,LT+IOO,18.84,58582.1552,6187.6,18.78023852255557,-1.0230098893528152,-1.0447999999960302,-16.056428072766906,484505233046738.6,2645886.6138588623,48739.03259859128,9.607214294921529e-14,1.7697142736548493e-15,46.547456008909144,0.8574358265832825,0.007522699594173693,0.00013857324755693363,9.00087382641704e+37,1.658022231730252e+36,2019-04-09T03:43:29.280000092,2019 04 09
0.02,i,LT+IOO,19.11,58582.1575,7658.7,19.065798537730355,-1.0207578576284395,-1.0424999999959255,-15.770868057592121,391440398501051.06,2033982.5516181695,37467.343222127914,7.385390644925574e-14,1.3604392323954645e-15,28.90940257135601,0.5325308752653446,0.003774714060004441,6.953280259905004e-05,4.516427189411692e+37,8.319566335945885e+35,2019-04-09T03:46:48.000000101,2019 04 09
0.07,z,LT+IOO,19.28,58582.1583,9669.8,19.250916707031333,-1.0199745422444995,-1.0416999999943073,-15.585749888291144,310029636600550.2,1715141.499824804,110579.25899641722,6.227678785863864e-14,4.015132894159909e-15,19.307649908463294,1.244810192079312,0.0019966958891045623,0.00012873174130585037,2.38903701291954e+37,1.5402690835166752e+36,2019-04-09T03:47:57.120000240,2019 04 09
0.02,g,P48,18.5,58582.4396,4814.0,18.419574648487018,-0.7445412709284327,-0.7603999999992084,-16.41709194683546,622751262982966.2,3688389.5145991016,67942.64570777149,1.3392542327509338e-13,2.466997465649183e-15,83.40222649009274,1.5363257875088057,0.017324932798108175,0.00031913705598438005,2.0729198636045584e+38,3.8184595015256856e+36,2019-04-09T10:33:01.439999817,2019 04 09
0.02,r,P48,18.76,58582.4516,6421.8,18.702741357745385,-0.7327915401907016,-0.7483999999967637,-16.133925237577092,466835557008938.3,2841646.7891199393,52345.06828945574,1.03180194912945e-13,1.9006494295901378e-15,48.1681837644755,0.8872907351414329,0.007500729353837787,0.000138168540773838,8.974586539689186e+37,1.653179934565867e+36,2019-04-09T10:50:18.240000028,2019 04 09
0.19,UVW1,Swift,18.61,58582.8261,2614.2,18.464416345113438,-0.3661020268272637,-0.3738999999986845,-16.37225025020904,1146784706602402.2,3539159.2112723314,619340.3583622259,1.2850687096129835e-13,2.2488248412132422e-14,147.3697143117453,25.78917935730922,0.056372777259484856,0.009865036859195632,6.744975643455415e+38,1.1803469080613554e+38,2019-04-09T19:49:35.039999862,2019 04 09
0.1,U,Swift,18.8,58582.828,3475.5,18.691024430253528,-0.3642416527912962,-0.37199999999575084,-16.14564216506895,862587995971802.6,2872479.024324685,264565.095253924,1.0429971337322931e-13,9.606358608669981e-15,89.9676807390473,8.286329620839114,0.02588625542772185,0.002384212234452342,3.0972779921158166e+38,2.8526984534017634e+37,2019-04-09T19:52:19.200000116,2019 04 09
