filter,mag,emag,limmag,mjd
B,17.86,0.17,19.09,58582.82892361097
U,18.67,0.09,22.12,58582.8279513889
UVM2,18.45,0.06,22.79,58582.83464120375
UVW1,18.08,0.11,20.04,58582.8260532408
UVW2,18.52,0.09,21.35,58582.82991898153
V,18.08,0.09,20.75,58582.83366898168
