filter,mag,emag,limmag,mjd
B,18.55,0.16,19.79,58657.804768518545
U,21.02,0.13,22.87,58657.80335648125
UVM2,21.09,0.19,22.29,58657.813055555336
UVW1,19.12,0.12,20.7,58657.80060185166
UVW2,20.65,0.16,22.13,58657.80618055537
V,19.97,0.14,21.46,58657.81165509252
