phase,Lbb,Lbb_unc,Lbb_uncr,Lbb_uncl,lgLbb,lgLbb_unc,lgLbb_uncr,lgLbb_uncl,Tbb,Tbb_unc,Tbb_uncr,Tbb_uncl,Rbb,Rbb_unc,Rbb_uncr,Rbb_uncl
-5.860000000000582,2.331696091993225e+43,4.4916672790147464e+42,5.103007199403554e+42,3.8803273586259386e+42,43.36767194481282,0.08250126971070415,0.08595164160043822,0.07905089782097008,31241.99718237231,2666.6542564574665,2883.173732635143,2450.13478027979,2663.8605067278145,210.0247316685677,211.78078082570255,208.26868251143287
-5.8179999999993015,1.2211955410044093e+43,3.238402822891842e+42,3.850482667012644e+42,2.6263229787710395e+42,43.08678520987432,0.11209534740309834,0.11902625653836196,0.10516443826783473,23326.54663018142,2818.3644141233835,3098.591523380015,2538.137304866752,3458.5326730271427,391.3447725152623,406.83393230515867,375.855612725366
-5.42500000000291,8.911191087792844e+42,1.7973708532078623e+43,3.454028942027796e+43,1.4071276438792884e+42,42.94993575659398,0.3813540407172198,0.6880688220165183,0.07463925941792127,21525.294645812977,20491.086661323752,35134.68115839716,5847.492164250345,3393.6560439407426,2466.9196068400997,2644.140601448827,2289.698612231373
-5.120000000009895,2.0461444378630364e+42,1.7957057856464e+41,1.996603895838258e+41,1.5948076754545422e+41,42.310936287417604,0.03783876214907167,0.0404357236147419,0.035241800683401436,9710.408589953735,705.1028309358235,762.1254744078415,648.0801874638055,8161.449118549357,869.7693083025924,893.8538075649758,845.6848090402091
-4.919999999998254,1.9876853820646027e+42,3.1203301443895523e+41,3.99585787923227e+41,2.2448024095468345e+41,42.29834764382067,0.06579945490702244,0.07955410947201358,0.052044800342031294,8837.844006229578,1522.8758944767014,1836.5572798610428,1209.19450909236,9659.01409772415,2614.4752483846437,2787.0014593557735,2441.949037413514
-4.064000000005763,2.3320409569097315e+42,1.5333106192200855e+41,1.6843688856036793e+41,1.3822523528364917e+41,42.36773617353281,0.02841143327046325,0.030286837467365046,0.02653602907356145,9833.581574362697,541.9499037497653,581.4610295506864,502.4387779488443,8500.015084418774,684.4081305867771,692.4522427390039,676.3640184345504
-3.126666666670644,2.7719863790131552e+42,2.5138458035327475e+41,2.9856115339883974e+41,2.0420800730770976e+41,42.44279109190876,0.038829144102077606,0.044424732787597065,0.03323355541655815,9253.340889663861,888.0142982137322,997.6925375155661,778.3360589118984,10453.111518474841,1571.3189747592805,1618.3775859279885,1524.2603635905725
-1.1600000000034925,3.733037933287062e+42,4.9557443382071075e+41,5.941372404138904e+41,3.970116272275311e+41,42.57206240303468,0.05648750508914446,0.06414207372905167,0.04883293644923725,9907.87845293134,1087.2388190793226,1227.9770266289233,946.5006115297219,10585.666441683094,1660.960201007927,1722.289538530882,1599.630863484972
-0.9075000000084401,3.466513829398488e+42,1.1379917637114017e+41,1.2363514385437625e+41,1.039632088879041e+41,42.5398929371237,0.014221819494260046,0.015219532880614395,0.013224106107905698,9008.00404507435,365.0578619881144,387.08099886791206,343.0347251083167,12350.49123195469,825.9693808880129,834.3848227928356,817.5539389831902
-0.8499999999985448,3.040420861123934e+42,1.5422227216647512e+41,1.6487610218108508e+41,1.4356844215186516e+41,42.48293370367881,0.02197095079460354,0.02293456841319852,0.021007333176008558,8744.589261877965,439.20143481836476,462.49313948785857,415.90973014887095,12270.64721985832,1001.9707000320841,1029.9625706288298,973.9788294353384
-0.05500000000029104,3.596044209699e+42,1.2424322377539355e+41,1.3517108949885462e+41,1.1331535805193248e+41,42.555825022302095,0.014965322889992194,0.01602528719326557,0.013905358586718819,7886.689943212767,794.8664359477125,743.49586251045,846.237009384975,16298.582069494954,3413.9074319754627,4283.7444187446235,2544.070445206302
1.9166666666642413,3.216783839284788e+42,1.6506303873678098e+41,1.7767318574720426e+41,1.524528917263577e+41,42.50742187825978,0.022217323729712746,0.023348436471181344,0.021086210988244147,8517.783380858798,420.4308056812124,443.3913620221774,397.4702493402474,13304.958987845577,1022.9322702639047,1046.7660914609478,999.0984490668616
4.05999999998312,2.6533428024411023e+42,1.1490858685437513e+41,1.2530907150057445e+41,1.045081022081758e+41,42.423793362907674,0.01874623406791187,0.02004077627822909,0.017451691857594653,7878.757372563722,639.112329516392,715.6406629365911,562.583996096193,14077.741663791174,2093.819652773591,2147.151948067265,2040.4873574799167
4.92333333332499,2.283255997889434e+42,6.527002821364966e+40,6.543902273948323e+40,6.51010336878161e+40,42.358554607170426,0.012417371803657318,0.01227201988517379,0.012562723722140845,6624.866892624428,294.9513480019582,313.391969324156,276.5107266797604,18509.424729431248,1682.0699912406035,1722.1587054068223,1641.9812770743847
5.8549999999959255,1.8874211038571785e+42,1.5971601636537582e+41,1.7394053142280385e+41,1.4549150130794778e+41,42.27586880672475,0.03656179465382792,0.038285382254443334,0.0348382070532125,6263.6784719328925,818.426271378446,953.1903583399671,683.6621844169249,18668.62951716019,5297.665071657098,5767.7290650964605,4827.601078217736
6.018000000003667,2.122459691540585e+42,1.1184235360673946e+41,1.1181093827185052e+41,1.118737689416284e+41,42.3268394511385,0.02290656958231807,0.022296325481605095,0.023516813683031046,6617.936106849551,456.8399919612116,495.77451559740894,417.9054683250142,17855.543475873877,2545.1100027044386,2647.9681457083243,2442.251859700553
7.0899999999965075,2.2535735912384193e+42,9.328633756258615e+41,1.3896077184486084e+42,4.761190328031146e+41,42.35287174467765,0.15584113933784138,0.2086090405739256,0.10307323810175717,8027.855177359155,2243.056412419178,2888.4024846503726,1597.710340187983,12529.3731801418,4393.950217736216,4862.829592422542,3925.070843049889
