,emag,filter,instrument,mag,mjd,wave,mag0,tmax_rf,tmax_of,mag0_abs,freq,fratio,fratio_unc,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date
69,0.11,z,LT+IOO,19.55,58595.0951,9669.8,19.520916707031333,11.647018505827427,11.895100000001547,-15.315749888291144,310029636600550.2,1337518.9853714057,135509.0562017597,4.856531435883574e-14,4.920333830685895e-15,15.056686762061329,1.5254493094809412,0.0015570835758817482,0.00015775396693633182,1.8630429978292017e+37,1.8875186151397218e+36,2019-04-22T02:16:56.639999882,2019 04 22
70,0.11,g,LT+IOO,20.1,58596.138,4795.5,20.019165092090454,12.668168021151395,12.938000000001919,-14.81750150323202,625153702429360.8,845280.0154732077,85638.4831735129,3.069211736183217e-14,3.109533324030253e-15,19.18729080414584,1.9439362703449898,0.0040011032851935855,0.00040536675432071526,4.787300806798462e+37,4.850193688301503e+36,2019-04-23T03:18:43.199999915,2019 04 23
71,0.06,r,LT+IOO,19.75,58596.1388,6187.6,19.69023852255557,12.668951336535336,12.938800000003537,-15.146428072766906,484505233046738.6,1144382.5558443435,63240.91713047068,4.155253060270812e-14,2.2962777010073903e-15,20.132418523346832,1.1125585626666148,0.003253671621201569,0.0001798045385394361,3.8930024213263716e+37,2.151352642160599e+36,2019-04-23T03:19:52.320000054,2019 04 23
72,0.08,i,LT+IOO,19.66,58596.1396,7658.7,19.61579853773036,12.669734651919274,12.939600000005155,-15.22086805759212,391440398501051.1,1225595.6843855085,90305.22729292503,4.450137930003782e-14,3.278982803006108e-15,17.41963764705323,1.2835263350868045,0.0022744901415453307,0.0001675906270106943,2.7214164977868806e+37,2.0052137790822837e+36,2019-04-23T03:21:01.440000194,2019 04 23
73,0.16,z,LT+IOO,19.71,58596.1405,9669.8,19.68091670703133,12.670615881723535,12.940500000004251,-15.155749888291144,310029636600550.2,1154250.191606567,170096.59422584335,4.191082445723445e-14,6.176207336340373e-15,12.993597676105848,1.9148073160552577,0.0013437297230662318,0.00019801932987810063,1.607766140694067e+37,2.3692917430929447e+36,2019-04-23T03:22:19.200000116,2019 04 23
74,0.16,i,P48,19.66,58596.3822,7883.1,19.61809195888815,12.90727504161649,13.182200000002924,-15.218574636434331,380297672235541.8,1223009.567712056,180229.35034898386,4.440747740362476e-14,6.544127711171603e-15,16.888060286450912,2.488716535370665,0.002142312070943019,0.0003157027737020544,2.5632660730335e+37,3.777368479452368e+36,2019-04-23T09:10:22.080000001,2019 04 23
75,0.05,r,P48,19.68,58596.3929,6421.8,19.622741357745387,12.917751884854429,13.19290000000183,-15.213925237577095,466835557008938.3,1217783.5269694864,56081.003913873035,4.421771986426205e-14,2.0363012521127298e-15,20.64240388249797,0.9506178292680448,0.00321442646648883,0.00014802980928525411,3.846045782762582e+37,1.7711695372723474e+36,2019-04-23T09:25:46.559999906,2019 04 23
76,0.08,g,P48,20.11,58596.4781,4814.0,20.029574648487014,13.001174973076644,13.278100000003178,-14.807091946835461,622751262982966.2,837214.571924533,61688.24937442628,3.039926110657979e-14,2.239900334785418e-15,18.93117824787152,1.3949007624435878,0.003932525601967496,0.0002897591945250494,4.705247939167791e+37,3.4669548043419877e+36,2019-04-23T11:28:27.840000023,2019 04 23
77,0.07,g,LT+IOO,20.12,58597.1508,4795.5,20.039165092090453,13.65984529521784,13.950800000005984,-14.797501503232018,625153702429360.8,829851.916466722,53502.5302629668,3.013192308690668e-14,1.9426768738483246e-15,18.837083279096447,1.2144716403101763,0.003928074920049305,0.0002532523491419406,4.699922719692301e+37,3.0301521579245084e+36,2019-04-24T03:37:09.120000266,2019 04 24
78,0.05,r,LT+IOO,19.77,58597.1516,6187.6,19.71023852255557,13.660628610594658,13.951600000000324,-15.126428072766904,484505233046738.6,1123495.220228137,51738.8669229474,4.0794111446483654e-14,1.8786382579722204e-15,19.764960473313188,0.9102100669893496,0.003194285421377139,0.0001471022798806241,3.8219471193089847e+37,1.760071692626481e+36,2019-04-24T03:38:18.239999777,2019 04 24
79,0.07,i,LT+IOO,19.69,58597.1539,7658.7,19.64579853773036,13.662880642319035,13.953900000000429,-15.19086805759212,391440398501051.1,1192194.7994590316,76863.63924902298,4.328859316835744e-14,2.7909187411320247e-15,16.944904160371713,1.0924783442127717,0.002212503970696295,0.0001426454025112319,2.6472503429630165e+37,1.7067453695964046e+36,2019-04-24T03:41:36.959999786,2019 04 24
80,0.15,z,LT+IOO,19.95,58597.1547,9669.8,19.920916707031328,13.663663957702976,13.954700000002047,-14.915749888291144,310029636600550.2,925337.05827201,127840.03898232557,3.3598988585856686e-14,4.641871815448242e-15,10.41668222141918,1.4391178320897546,0.0010772386421041991,0.0001488260183343766,1.288910846051902e+37,1.7806961401904723e+36,2019-04-24T03:42:46.079999926,2019 04 24
81,0.06,r,P48,19.85,58597.405,6421.8,19.79274135774539,13.908743757957255,14.205000000001744,-15.043925237577092,466835557008938.3,1041286.1574109136,57543.59960629012,3.7809100375590274e-14,2.089408101704394e-15,17.650632433845548,0.9754099949781592,0.0027485490725101284,0.0001518904349213864,3.2886257250707965e+37,1.8173617370363402e+36,2019-04-24T09:43:11.999999899,2019 04 24
82,0.18,g,P48,20.53,58597.4728,4814.0,20.44957464848702,13.975129736616175,14.272800000006098,-14.387091946835456,622751262982966.2,568639.1785311836,94272.48689603641,2.0647288572467282e-14,3.4230339991950806e-15,12.858125035677768,2.1316987462323707,0.002670985674216403,0.0004428123693876964,3.195821492647284e+37,5.2982286687645235e+36,2019-04-24T11:20:49.920000276,2019 04 24
83,0.17,g,LT+IOO,20.37,58598.1207,4795.5,20.289165092090453,14.609517281897972,14.920700000002398,-14.547501503232018,625153702429360.8,659174.8078895736,103210.81387001477,2.3934637274470423e-14,3.747584651620236e-15,14.962827108438967,2.3428164201278365,0.00312018081710749,0.0004885447649104027,3.733281317273733e+37,5.845414578193216e+36,2019-04-25T02:53:48.479999956,2019 04 25
