phase,Lbb,Lbb_unc,Lbb_uncr,Lbb_uncl,lgLbb,lgLbb_unc,lgLbb_uncr,lgLbb_uncl,Tbb,Tbb_unc,Tbb_uncr,Tbb_uncl,Rbb,Rbb_unc,Rbb_uncr,Rbb_uncl
2.3235495333356084,1.5056549128465407e+43,2.7775576505362677e+42,3.2932355718389346e+42,2.2618797292336008e+42,43.17772544555671,0.07830095217232014,0.08590552744456659,0.07069637690007369,14385.47469890684,1981.5761377340987,2230.444795565163,1732.7074799030343,10082.917319715005,1931.5875115149793,2059.5848341045566,1803.590188925402
3.7903502799672424,9.636157431590085e+42,7.345210787463314e+41,7.737037721258536e+41,6.953383853668093e+41,42.983903886709484,0.03303381688843743,0.03354105232438087,0.032526581452493986,9445.896225146229,599.5870185596823,615.2948735636401,583.8791635557245,18731.85029580557,1826.3361561515849,1941.9684279763314,1710.7038843268383
5.274366199992073,4.398666235940586e+42,5.463209053590713e+41,5.859669415305798e+41,5.0667486918756285e+41,42.643321009626675,0.053730667778470576,0.05431219417209121,0.05314914138484994,6931.520470717539,897.7195830652845,978.2419583315741,817.1972077989949,23313.8092573595,7068.7058647298745,8158.871224968425,5978.540504491324
9.94814234970545,5.4732903113528343e+42,2.600577274219416e+41,2.74626636405671e+41,2.454888184382122e+41,42.73824848437031,0.020595697950927416,0.021261999971699197,0.019929395930155636,6919.346663965795,585.5201168297499,631.9485934973754,539.0916401621243,26200.343215580633,4137.295140900218,4430.884724101194,3843.7055576992425
16.938298600245616,5.23708274412894e+42,3.985371918201888e+41,4.350652200047596e+41,3.62009163635618e+41,42.719089435661026,0.032883188192556645,0.03465811570450228,0.03110826068061101,5075.706891699863,340.6465431892075,361.5479574521405,319.74512892627445,47785.631559708934,7960.911323286655,8561.917206877522,7359.905439695787
22.28161619999446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.964250600067317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.915860966611945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.951828700024635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.92982059994392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.943330449859786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.91910300006566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.931996499872184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.91393906691519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.92631940006686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.9232407000236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.91144674991665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.97818289998395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.90767360011523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.92829860000347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.90438075012935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
