Wavelength (nm),u',Wavelength (nm),g',Wavelength (nm),r',Wavelength (nm),i',Wavelength (nm),z_s,Wavelength (nm),Y,Wavelength (nm),z'
350,95.06684113,350,0.000126563,350,-1.09E-05,350,7.77E-05,350,-0.000122067,350,7.48E-06,676.4799805,-0.028602077
351,95.38122559,351,0.000134518,351,4.78E-05,351,-4.30E-05,351,6.66E-05,351,0.000122534,676.2999878,-0.028809642
352,95.41327667,352,0.000129393,352,0.000112076,352,2.45E-05,352,1.22E-05,352,-2.36E-05,676.1199951,-0.028967718
353,95.56034851,353,0.000114182,353,3.01E-05,353,2.95E-05,353,-4.61E-05,353,5.75E-05,675.9400024,-0.028849026
354,95.31358337,354,2.49E-06,354,3.20E-05,354,0.000265478,354,-4.42E-05,354,-5.56E-05,675.7600098,-0.028837498
355,95.54216003,355,3.01E-05,355,0.000142632,355,0.00612556,355,-2.01E-05,355,-5.55E-05,675.5800171,-0.028652957
356,95.41264343,356,0.000138609,356,0.000146085,356,0.022025701,356,0.000142652,356,2.12E-05,675.4000244,-0.028963935
357,95.26519775,357,7.89E-05,357,0.000160658,357,0.002022523,357,0.000145043,357,1.59E-05,675.2200317,-0.029119233
358,95.59682465,358,0.000110717,358,9.47E-05,358,0.000128149,358,-2.24E-05,358,5.97E-05,675.039978,-0.028516188
359,94.91483307,359,0.000155535,359,-1.57E-06,359,-6.75E-05,359,-2.60E-05,359,-2.33E-05,674.8599854,-0.029138321
360,95.47425842,360,8.62E-05,360,0.000238049,360,-2.61E-05,360,-6.67E-05,360,5.50E-05,674.6799927,-0.029100426
361,95.22260284,361,0.000154919,361,0.000342924,361,1.81E-05,361,0.000104118,361,6.20E-05,674.5,-0.029396597
362,95.72795868,362,7.60E-05,362,0.000167641,362,-4.23E-05,362,2.63E-05,362,3.95E-05,674.3200073,-0.029179543
363,95.42175293,363,0.000172242,363,-3.32E-06,363,-5.33E-05,363,9.60E-05,363,9.18E-05,674.1400146,-0.028932488
364,95.35675812,364,0.000114917,364,9.13E-05,364,-0.000126,364,6.18E-05,364,-1.64E-06,673.960022,-0.028893817
365,95.59563446,365,7.29E-05,365,0.000207108,365,-2.75E-05,365,-2.94E-05,365,-1.95E-05,673.7800293,-0.02894761
366,95.44178772,366,5.79E-05,366,0.000588006,366,4.16E-05,366,0.000117137,366,7.27E-05,673.5999756,-0.028634103
367,95.83098602,367,0.000103115,367,0.000155534,367,-0.000104412,367,-2.80E-05,367,-2.13E-05,673.4199829,-0.028982144
368,95.18327332,368,5.89E-05,368,4.99E-05,368,-3.21E-05,368,-5.22E-05,368,-1.29E-05,673.2399902,-0.028669115
369,95.80969238,369,9.21E-05,369,9.45E-06,369,-9.78E-06,369,-4.91E-05,369,-2.57E-06,673.0599976,-0.029073108
370,95.4670105,370,4.54E-05,370,2.69E-05,370,4.47E-05,370,-1.97E-05,370,-6.99E-05,672.8800049,-0.029182982
371,95.49973297,371,0.000100792,371,-1.36E-05,371,5.56E-05,371,-5.62E-05,371,-2.35E-06,672.7000122,-0.029232478
372,94.88503265,372,7.28E-05,372,3.55E-05,372,6.21E-05,372,0.000216623,372,-6.40E-07,672.5200195,-0.028932126
373,94.19606018,373,9.18E-05,373,1.58E-06,373,-5.05E-05,373,8.23E-05,373,-2.38E-05,672.3400269,-0.028821098
374,95.41474915,374,7.16E-05,374,5.18E-05,374,-5.65E-05,374,-7.53E-05,374,4.10E-06,672.1600342,-0.029007735
375,95.44782257,375,5.56E-05,375,3.39E-05,375,-6.34E-05,375,-3.47E-05,375,1.40E-05,671.9799805,-0.029067425
376,95.412323,376,5.79E-05,376,0.00018866,376,-5.17E-05,376,-4.71E-05,376,-6.97E-05,671.7999878,-0.029179629
377,95.26153564,377,8.04E-05,377,0.000254748,377,3.05E-05,377,-5.73E-05,377,-2.36E-05,671.6199951,-0.028944135
378,95.36280823,378,9.33E-05,378,2.54E-05,378,4.16E-05,378,-4.10E-05,378,6.32E-05,671.4400024,-0.028869979
379,94.15380859,379,6.84E-05,379,5.64E-06,379,-9.29E-05,379,-3.85E-05,379,2.51E-05,671.2600098,-0.028925851
380,94.1151123,380,0.00012418,380,2.50E-05,380,-4.20E-05,380,-0.000113288,380,-1.64E-05,671.0800171,-0.028951664
381,93.58960724,381,8.86E-05,381,6.85E-06,381,-2.45E-05,381,-4.41E-05,381,-6.98E-07,670.9000244,-0.029127119
382,71.40829468,382,8.51E-05,382,1.72E-05,382,0.000258355,382,6.03E-05,382,5.77E-05,670.7200317,-0.028804349
383,10.6422987,383,1.14E-05,383,0.000217152,383,-3.03E-05,383,-3.64E-05,383,-1.97E-05,670.539978,-0.029199261
384,2.959070444,384,6.87E-05,384,0.000704401,384,-0.000118568,384,2.81E-05,384,-7.19E-06,670.3599854,-0.029250892
385,0.204997927,385,0.00012096,385,0.000709619,385,3.94E-05,385,8.18E-06,385,5.94E-05,670.1799927,-0.029369108
386,0.029715328,386,0.000130867,386,2.73E-05,386,0.000368898,386,-1.04E-05,386,2.22E-05,670,-0.029269105
387,0.007756511,387,4.13E-05,387,0.000100033,387,0.003150717,387,0.0001237,387,2.14E-06,669.8200073,-0.029299201
388,0.003080639,388,8.66E-05,388,5.15E-05,388,0.001266971,388,6.48E-05,388,6.49E-05,669.6400146,-0.02887187
389,0.001839636,389,0.000338663,389,1.86E-06,389,-6.03E-05,389,-5.88E-05,389,1.90E-05,669.460022,-0.028919781
390,0.001514541,390,0.000161857,390,-7.00E-06,390,-0.000120099,390,0.000463093,390,0.000178815,669.2800293,-0.029100679
391,0.001862022,391,0.000975318,391,3.47E-05,391,0.000154665,391,2.95E-05,391,0.000345727,669.0999756,-0.029060347
392,0.003782534,392,0.000319795,392,4.43E-05,392,0.001226762,392,-4.33E-05,392,6.90E-05,668.9199829,-0.028681399
393,0.004103712,393,0.000240079,393,6.49E-05,393,-4.82E-05,393,0.000341896,393,5.06E-05,668.7399902,-0.029089784
394,0.001763146,394,0.011126103,394,9.65E-06,394,-5.14E-05,394,9.91E-05,394,-1.73E-05,668.5599976,-0.029133722
395,0.000816683,395,0.009062199,395,8.36E-06,395,0.000301569,395,-6.81E-05,395,-1.44E-06,668.3800049,-0.028949833
396,0.001187852,396,0.010839829,396,6.52E-05,396,0.000417432,396,-8.86E-05,396,7.32E-05,668.2000122,-0.028933169
397,0.002832125,397,0.050352555,397,7.06E-05,397,-5.14E-05,397,5.42E-05,397,0.000827917,668.0200195,-0.028644895
398,0.003028069,398,0.021166408,398,1.27E-05,398,0.000322817,398,0.000197145,398,0.000214509,667.8400269,-0.028623119
399,0.001502765,399,0.067902654,399,1.85E-05,399,3.53E-05,399,7.84E-05,399,5.17E-05,667.6600342,-0.028712038
400,0.001872299,400,4.747470379,400,6.47E-05,400,0.000159755,400,1.08E-05,400,3.26E-05,667.4799805,-0.028847018
