,Mej,Rcsm,kappa,Mcsm,beta,delta,s,tau,bt,Lpeak,tpeak,max_ind,trise,tfall
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a4.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.2,0.01,0.1,0,5738.232903,57.38232903,1.06E+44,1.861244011,68,0.217390671,0.715912461
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a4.0e-02_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.2,0.03,0.1,0,5738.232903,172.1469871,1.07E+45,0.898237763,108,0.05062538,0.321513806
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a4.0e-02_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.2,0.05,0.1,0,5738.232903,286.9116451,2.57E+45,0.709775758,196,0.040717652,0.292024723
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a4.0e-03_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.02,0.1,0.1,0,573.8232903,57.38232903,1.15E+46,0.48828914,282,0.03762458,0.23587379
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a4.0e-03_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.02,0.01,0.1,0,573.8232903,5.738232903,4.81E+43,1.138909118,50,0.299273553,0.751843076
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a4.0e-03_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.02,0.03,0.1,0,573.8232903,17.21469871,1.02E+45,0.673781065,77,0.102478728,0.283254415
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a4.0e-03_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.02,0.05,0.1,0,573.8232903,28.69116451,3.11E+45,0.566063909,122,0.057349252,0.230874447
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a6.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.3,0.01,0.1,0,8607.349354,86.07349354,1.14E+44,2.038674496,72,0.18433915,0.424150263
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a6.0e-02_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.3,0.03,0.1,0,8607.349354,258.2204806,1.06E+45,0.955884629,120,0.053249679,0.293945388
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a6.0e-02_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.3,0.05,0.1,0,8607.349354,430.3674677,2.44E+45,0.744280734,222,0.044228481,0.304450905
