,jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fmcmc_low_3sigma,Fmcmc_low_2sigma,Fmcmc_low_1sigma,Fmcmc_high_3sigma,Fmcmc_high_2sigma,Fmcmc_high_1sigma,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid
0,2458129.7497801,b'g',3.271,7.93581694919425,26.0,5.9157e-06,0.0,858.0,3.0,2.0,1.0,226.8723205,-12.3143622,-0.278449,243.6980286,1.4,0.0,0.0,5.2135236379146574,-0.3266797661781311,ztf_20180111249769_000858_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180111249769_000858_zg_c03_o_q2_diffimgpsf.fits',9.911180249601841,28.125697970444534,-75.88614443793668,-46.181181105263484,-18.111794314568115,94.6262537477109,66.3225149307515,38.13960162632095,3.9457119260146906e-10,1.1197042038876542e-09,2458247.6802452896,2458374.9519106713,8580321.0
1,2458129.7909259,b'g',2.696,8.27164116659132,26.0,4.527e-06,0.0,858.0,3.0,2.0,1.0,227.4994975,-12.4788514,-0.2748995,243.2434235,1.4,0.0,0.0,4.607515800356865,-0.6062712073326111,ztf_20180111290926_000858_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180111290926_000858_zg_c03_o_q2_diffimgpsf.fits',-14.815439345385006,21.84554878073043,-80.44245062614344,-58.4990801554046,-36.647122344264275,51.019382536039,28.901018868839706,7.04397521719658,-5.898132638298177e-10,8.696869614319756e-10,2458247.6802452896,2458374.9519106713,8580321.0
2,2458129.8101157,b'g',2.871,8.28688860997522,26.0,4.7536e-06,0.0,858.0,3.0,2.0,1.0,227.7798735,-12.5578091,-0.2732116,243.0265961,1.4,0.0,0.0,4.8273570946455,-0.8372336030006409,ztf_20180111310116_000858_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180111310116_000858_zg_c03_o_q2_diffimgpsf.fits',-19.923588975950246,24.36061040876953,-93.15692250885459,-68.7173459036718,-44.30415448180846,52.57368174445226,28.729532099845876,4.417066335730603,-7.931723634486396e-10,9.69813368285348e-10,2458247.6802452896,2458374.9519106713,8580321.0
3,2458129.8739236,b'g',2.471,8.48773195177604,26.0,4.0757e-06,0.0,858.0,3.0,2.0,1.0,228.6458295,-12.8277116,-0.267735,242.3201904,1.4,0.0,0.0,4.939114266347883,-0.5473775267601013,ztf_20180111373912_000858_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180111373912_000858_zg_c03_o_q2_diffimgpsf.fits',-11.18025144846391,21.945615070032922,-77.7622222561987,-55.347842929297386,-33.20233181875979,54.690551976544796,32.5467004135984,10.688898321306052,-4.4509382702246026e-10,8.736706721602965e-10,2458247.6802452896,2458374.9519106713,8580321.0
4,2458131.7390509,b'g',2.663,6.37624263402793,26.0,1.07677e-05,0.0,858.0,3.0,2.0,1.0,250.4865473,-17.6824563,-0.1280736,221.9393463,1.4,0.0,0.0,6.862117078256607,-0.18828213214874268,ztf_20180113239039_000858_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180113239039_000858_zg_c03_o_q2_diffimgpsf.fits',-24.626504519766865,31.87397986684621,-120.19378198918741,-87.88667239336715,-56.504419258837395,71.39870781120645,38.66328736449307,7.243540474855027,-9.80398803498729e-10,1.268925993944178e-09,2458247.6802452896,2458374.9519106713,8580321.0
5,2458131.7609144,b'g',2.706,7.45133406668003,26.0,7.5157e-06,0.0,858.0,3.0,2.0,1.0,250.8542719,-17.7347478,-0.1266899,221.7015533,1.4,0.0,0.0,5.797880303239823,-0.1281116008758545,ztf_20180113260903_000858_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180113260903_000858_zg_c03_o_q2_diffimgpsf.fits',-18.971351493375998,27.19671633179567,-100.3782004153833,-73.36874705419366,-46.333161383802064,62.81568189226378,35.24922812203238,8.060271279789275,-7.552631064603777e-10,1.0827207787323477e-09,2458247.6802452896,2458374.9519106713,8580321.0
6,2458131.7809144,b'g',2.515,7.66605517123944,26.0,6.6137e-06,0.0,858.0,3.0,2.0,1.0,251.1870085,-17.7855954,-0.1254338,221.484726,1.4,0.0,0.0,5.431177207946776,-0.0033130645751953125,ztf_20180113280891_000858_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180113280891_000858_zg_c03_o_q2_diffimgpsf.fits',30.49950370501981,24.047916833505084,-41.91585676994548,-17.71495957937796,6.4859363680410524,102.61834873986544,78.74326710142677,54.58177003505122,1.2142071123291332e-09,9.573648128578224e-10,2458247.6802452896,2458374.9519106713,8580321.0
7,2458131.8054051,b'g',2.533,7.35286486594939,26.0,8.1194e-06,0.0,858.0,3.0,2.0,1.0,251.5878144,-17.8515972,-0.1239015,221.2189484,1.4,0.0,0.0,5.060807428836821,0.2030963897705078,ztf_20180113305394_000858_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180113305394_000858_zg_c03_o_q2_diffimgpsf.fits',-37.77820028375964,22.44201951256384,-106.1868692785369,-82.70563405697803,-60.170316626449846,30.024157065708053,7.017076000843931,-15.286277601322173,-1.5039772423570864e-09,8.934328890361087e-10,2458247.6802452896,2458374.9519106713,8580321.0
8,2458131.8206713,b'g',2.715,7.67930382573392,26.0,7.0958e-06,0.0,858.0,3.0,2.0,1.0,251.8330515,-17.8946955,-0.122978,221.0580902,1.4,0.0,0.0,5.273095492362976,-0.0003229975700378418,ztf_20180113320671_000858_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180113320671_000858_zg_c03_o_q2_diffimgpsf.fits',-9.848278389832437,24.942898766960415,-84.19413026058524,-59.49136341367263,-34.796642236957496,64.76708753190091,39.859680104421045,15.089155296963332,-3.92067024459934e-10,9.929946853549978e-10,2458247.6802452896,2458374.9519106713,8580321.0
9,2458131.8676505,b'g',2.839,7.193255503604,26.0,8.3208e-06,0.0,858.0,3.0,2.0,1.0,252.5598068,-18.0355864,-0.1200665,220.5475159,1.4,0.0,0.0,5.477523639917374,-0.05579650402069092,ztf_20180113367639_000858_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180113367639_000858_zg_c03_o_q2_diffimgpsf.fits',-16.90560731751834,27.099616326193033,-99.00411198290442,-71.3487561379057,-44.07962690155935,64.78728209670696,37.088296186835976,10.119605750826715,-6.730243495665719e-10,1.0788551578829357e-09,2458247.6802452896,2458374.9519106713,8580321.0
10,2458132.73875,b'g',2.033,7.58563918478992,26.0,4.4649e-06,0.0,858.0,3.0,2.0,1.0,262.6760611,-19.3293261,-0.0719226,211.1124573,1.4,0.0,0.0,5.0194670124053955,0.10030364990234375,ztf_20180114238738_000858_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180114238738_000858_zg_c03_o_q2_diffimgpsf.fits',-23.54680836068444,19.206095263478346,-81.39297957331782,-61.93510699189898,-42.822999747399564,33.661495965931046,14.806682032659026,-4.410809220442868,-9.374153252037507e-10,7.646084242821462e-10,2458247.6802452896,2458374.9519106713,8580321.0
11,2458132.7784838,b'g',2.247,4.83939909791306,26.0,1.16423e-05,0.0,858.0,3.0,2.0,1.0,263.3590566,-19.3854235,-0.0699484,210.6718292,1.4,0.0,0.0,8.151932726478575,-0.4413902759552002,ztf_20180114278484_000858_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180114278484_000858_zg_c03_o_q2_diffimgpsf.fits',-17.339255797753914,33.17709345383854,-118.7268498168185,-83.72151495381304,-50.45258250601836,81.90974306351882,48.94645913674748,15.90160440165872,-6.902882065147128e-10,1.3208038802304012e-09,2458247.6802452896,2458374.9519106713,8580321.0
