date,jdobs,filter,absmag,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Dec 05,2458457.7825,g,-14.14,20.27,0.22,20.25,P48+ZTF,3,None,True,True,0.233333006501198
2018 Dec 10,2458462.8267,r,99.0,99.0,99.0,19.24,P48+ZTF,3,None,True,True,None
2018 Dec 10,2458462.9645,g,99.0,99.0,99.0,16.37,P48+ZTF,3,None,True,True,None
2018 Dec 10,2458462.9660,g,99.0,99.0,99.0,17.13,P48+ZTF,1,None,True,True,None
2018 Dec 12,2458464.8048,r,-15.28,19.13,0.15,19.87,P48+ZTF,3,None,True,True,0.376666992902756
2018 Dec 12,2458464.8048,r,-15.28,19.13,0.15,19.87,P48+ZTF,3,None,True,True,0.376666665077209
2018 Dec 12,2458464.8248,g,99.0,99.0,99.0,20.03,P48+ZTF,3,None,True,True,None
2018 Dec 13,2458465.7235,g,99.0,99.0,99.0,19.56,P48+ZTF,1,None,True,True,None
2018 Dec 13,2458465.7246,g,99.0,99.0,99.0,19.64,P48+ZTF,3,None,True,True,None
2018 Dec 13,2458465.9713,r,-15.13,19.27,0.12,19.92,P48+ZTF,1,None,True,True,0.649999976158142
2018 Dec 13,2458465.9713,r,-15.13,19.27,0.12,19.92,P48+ZTF,1,None,True,True,0.649999976158142
2018 Dec 13,2458465.9722,r,-15.05,19.35,0.14,19.91,P48+ZTF,3,None,True,True,0.573333323001862
2018 Dec 13,2458465.9722,r,-15.05,19.35,0.14,19.91,P48+ZTF,3,None,True,True,0.573333323001862
2018 Dec 16,2458468.6908,r,-14.74,19.67,0.05,21.23,P60+SEDM,None,PS1,True,True,None
2018 Dec 16,2458468.6934,g,-13.58,20.82,0.08,21.72,P60+SEDM,None,PS1,True,True,None
2018 Dec 16,2458468.6961,i,-15.17,19.24,99.00,20.66,P60+SEDM,None,PS1,True,True,None
2018 Dec 16,2458468.9896,r,-14.92,19.48,0.11,20.34,P48+ZTF,3,None,True,True,0.810000002384186
2018 Dec 16,2458468.9909,r,-14.78,19.62,0.13,20.35,P48+ZTF,1,None,True,True,0.766666650772095
2018 Dec 27,2458479.6205,r,99.0,99.0,99.0,18.85,P60+SEDM,None,PS1,True,True,None
2018 Dec 27,2458479.6232,g,99.0,99.0,99.0,19.94,P60+SEDM,None,PS1,True,True,None
2018 Dec 27,2458479.6259,i,99.0,99.0,99.0,19.57,P60+SEDM,None,PS1,True,True,None
2019 Jan 03,2458486.6784,r,99.0,99.0,99.0,20.34,P60+SEDM,None,PS1,True,True,None
2019 Jan 03,2458486.6811,g,99.0,99.0,99.0,20.41,P60+SEDM,None,PS1,True,True,None
2019 Jan 03,2458486.6838,i,99.0,99.0,99.0,20.16,P60+SEDM,None,PS1,True,True,None
