mjd,Fratio,Fratio_unc,filterid,wave,Fratio0,Fratio0_abs,freq,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date
58340.15797449974,4.54219069442795e-09,286765.02446717187,3.0,7883.058236798149,4.690395352891876e-09,925799.4558132999,380299686992755.6,3.361577824058092e-14,1.041243803840301e-14,12.78406994291081,3.959846926836127,0.001621714512171776,0.0005023236931514149,1.9403736017629665e+37,6.010278790844563e+36,2018-08-10T03:47:28.996777833,2018 08 10
58340.183356499765,9.435404652755433e-09,185198.0714488514,2.0,6421.811631761602,9.858526343830809e-09,1945895.311066338,466834711434477.7,7.065545874481873e-14,6.724541974307795e-15,32.984420694408094,3.1392496121050124,0.005136310839650081,0.0004888417462416081,6.145571177234637e+37,5.848967945515036e+36,2018-08-10T04:24:02.001579702,2018 08 10
58343.16049770033,5.134420777629829e-09,144808.39815177233,2.0,6421.811631761602,5.3646689632748235e-09,1058888.906615549,466834711434477.7,3.8448256199210585e-14,5.257992936890853e-15,17.94898058791734,2.4546136154179634,0.002795002659240825,0.00038223070936520525,3.344207217819936e+37,4.573372024908028e+36,2018-08-13T03:51:07.001308501,2018 08 13
58343.18030089978,4.6208564589430055e-09,143785.5055442095,1.0,4813.966872932173,4.914534957848913e-09,970040.5716858654,622755548414061.5,3.522217315791377e-14,5.220851706310247e-15,21.93480376129163,3.2513143675517266,0.004556492460433406,0.0006753919279821219,5.45182127957703e+37,8.081031883628426e+36,2018-08-13T04:19:37.997741103,2018 08 13
58344.323842600454,7.081795282499304e-09,229376.26901558074,3.0,7883.058236798149,7.3128633115104525e-09,1443427.3371133225,380299686992755.6,5.241084661058474e-14,8.328652327955737e-15,19.931828561030702,3.167383873393052,0.002528438578315817,0.0004017963305925727,3.0252645790737236e+37,4.8074737403871314e+36,2018-08-14T07:46:20.000679195,2018 08 14
58346.15693289973,6.933674904960974e-09,180378.59118249392,1.0,4813.966872932173,7.374344563515199e-09,1455562.627502782,622755548414061.5,5.2851479004626015e-14,6.549546645836354e-15,32.91355179202013,4.078766513291296,0.006837095613824318,0.0008472776446022635,8.180551966589821e+37,1.0137636202986611e+37,2018-08-16T03:45:59.002536535,2018 08 16
58346.18018520018,9.084663219574984e-09,146694.0249172989,2.0,6421.811631761602,9.492056246772211e-09,1873560.7228488408,466834711434477.7,6.802898984664141e-14,5.326460044747123e-15,31.758293844235855,2.4865764379567983,0.0049453792271269194,0.0003872079376571019,5.917122422597891e+37,4.6329243216597574e+36,2018-08-16T04:19:28.001295626,2018 08 16
58347.255200000014,9.817479430199823e-09,89238.68348801916,2.0,6348.830627071128,1.0263814977623493e-08,2025891.9783795192,472201064431768.7,7.356013773496035e-14,3.2402565974499757e-15,34.73517533819579,1.5300526143479396,0.005471113875693354,0.00024099754808765318,6.546161397062213e+37,2.8835240536427497e+36,2018-08-17T06:07:29.280001223,2018 08 17
58347.257999999914,6.918309709189363e-09,75463.05808531224,1.0,4773.229399405268,7.3631178857319375e-09,1453346.6837708903,628070500942932.6,5.277101808772103e-14,2.7400636390776874e-15,33.14391976562351,1.720953142411038,0.006943709801534608,0.0003605427266130273,8.308115328608089e+37,4.3138763560220164e+36,2018-08-17T06:11:31.199992597,2018 08 17
58347.260799999814,1.0764652136298327e-08,195696.54139427177,3.0,7681.939914479305,1.1133376378255096e-08,2197527.7171461117,390256187027623.3,7.979223140957531e-14,7.105741418026009e-15,31.13941198432662,2.773059551803087,0.004053587027624819,0.00036098428036078305,4.850097351795097e+37,4.319159525343585e+36,2018-08-17T06:15:33.119983971,2018 08 17
