"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"7049","","LSQ13ddu","59.7046","-29.42","Other","0.058454","21002","2013-11-30 03:16:12.00","2456626.63625","","ESO-NTT","EFOSC2-NTT","Dennefeld/Bersier/Lyman","Maund","PESSTO","Y","PESSTO","","LSQ13ddu_2013-11-30_03-16-12_ESO-NTT_EFOSC2-NTT_PESSTO.asci","LSQ13ddu_2013-11-30_03-16-12_ESO-NTT_EFOSC2-NTT_PESSTO.fits","Object","Low","","Air","Angstrom","1","Other","","600","1","","1.018","","Gr13","Free","","3467.6351314181","8811.7649896831","5.2137852275756","","",""," Migration From WISeREP1.0","2013-11-30 17:17:45"
"7049","","LSQ13ddu","59.7046","-29.42","Other","0.058454","21020","2013-12-03 07:13:46.00","2456629.8012269","","ESO-NTT","EFOSC2-NTT","Dennefeld","Cosimo Inserra","PESSTO-SSDR","Y","PESSTO-SSDR","","LSQ13ddu_2013-12-03_07-13-46_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat","LSQ13ddu_2013-12-03_07-13-46_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.fits","Object","High","","Air","Angstrom","1","Other","","3000","1.5","","","","Gr#11","","","3168.6038236711","7069.7601895123","3.8587105497934","","","As part of the &lt;a href=http://www.eso.org/sci/publications/announcements/sciann15062.html&gt;PESSTO SSDR2&lt;/a&gt; [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2013-11-30 17:17:45"
"7049","","LSQ13ddu","59.7046","-29.42","Other","0.058454","21021","2013-12-09 05:35:23.00","2456635.7329051","","ESO-NTT","EFOSC2-NTT","Dennefeld,Bersier","Cosimo Inserra","PESSTO-SSDR","Y","PESSTO-SSDR","","LSQ13ddu_2013-12-09_05-35-23_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat","LSQ13ddu_2013-12-09_05-35-23_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.fits","Object","High","","Air","Angstrom","1","Other","","1800","1","","","","Gr#11","","","3172.5812283576","7072.4550217487","3.8574419321376","","","As part of the &lt;a href=http://www.eso.org/sci/publications/announcements/sciann15062.html&gt;PESSTO SSDR2&lt;/a&gt; [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2013-11-30 17:17:45"
"7049","","LSQ13ddu","59.7046","-29.42","Other","0.058454","21024","2013-12-11 05:37:16.00","2456637.734213","","ESO-NTT","EFOSC2-NTT","Dennefeld/Lyman/Bersier","Cosimo Inserra","PESSTO-SSDR","Y","PESSTO-SSDR","","LSQ13ddu_2013-12-11_05-37-16_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat","LSQ13ddu_2013-12-11_05-37-16_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.fits","Object","High","","Air","Angstrom","1","Other","","1800","1","","","","Gr#11","","","3172.2412334216","7071.6595678414","3.8569914287041","","","As part of the &lt;a href=http://www.eso.org/sci/publications/announcements/sciann15062.html&gt;PESSTO SSDR2&lt;/a&gt; [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2013-11-30 17:17:45"
"7049","","LSQ13ddu","59.7046","-29.42","Other","0.058454","21027","2013-12-23 02:56:12.00","2456649.6223611","","ESO-NTT","EFOSC2-NTT","Fleury/LeGuillou/Leget","Cosimo Inserra","PESSTO-SSDR","Y","PESSTO-SSDR","","LSQ13ddu_2013-12-23_02-56-12_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat","LSQ13ddu_2013-12-23_02-56-12_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.fits","Object","High","","Air","Angstrom","1","Other","","2700","1","","","","","","","3467.5286643917","8760.263259537","5.2145168425078","","","As part of the &lt;a href=http://www.eso.org/sci/publications/announcements/sciann15062.html&gt;PESSTO SSDR2&lt;/a&gt; [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2013-11-30 17:17:45"
"7049","","LSQ13ddu","59.7046","-29.42","Other","0.058454","21029","2013-12-23 03:48:48.00","2456649.6588889","","ESO-NTT","EFOSC2-NTT","Fleury/LeGuillou/Leget","Cosimo Inserra","PESSTO-SSDR","Y","PESSTO-SSDR","","LSQ13ddu_2013-12-23_03-48-48_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat","LSQ13ddu_2013-12-23_03-48-48_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.fits","Object","High","","Air","Angstrom","1","Other","","2700","1","","","","","","","3466.583890221","8759.3184853664","5.2145168425078","","","As part of the &lt;a href=http://www.eso.org/sci/publications/announcements/sciann15062.html&gt;PESSTO SSDR2&lt;/a&gt; [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2013-11-30 17:17:45"
