2.7936,17.8,6.4816
2.7946,16,5.3834
2.7955,13.9,4.1706
3.8403,10.8,4.154
4.7084,9.9,3.3131
4.7304,8.2,2.1107
4.7529,9.6,3.0669
4.756,9.8,3.9198
4.757,9.6,3.0312
6.6439,7.1,1.5241
7.7521,7.1,1.5138
9.3958,8.7,1.5136
14.414,8.1,1.2555
15.652,9.1,1.6409
15.714,9.1,1.6328
15.736,9,1.5907
15.737,9.3,1.7437
15.738,9,1.585
16.415,9.2,2.1358
16.586,7.9,1.1936
16.691,8,1.2189
16.692,8.1,1.2655
16.712,8,1.2196
16.718,7.9,1.1785
17.712,7.9,1.1929
17.732,7.9,1.1888
17.733,7.9,1.1816
17.753,7.6,1.1051
19.439,8,1.2307
19.655,7.6,1.0915
19.67,7.6,1.0955
20.665,7.7,1.1283
20.677,7.7,1.139
20.678,7.6,1.102
20.767,7.9,1.194
20.801,7.8,1.1692
21.692,7.3,1.0014
21.697,7.3,0.9978
21.698,7.2,0.97743
21.699,7.4,1.0239
22.678,7.1,0.95586
22.679,7,0.91989
22.813,7.6,1.0857
23.657,7.2,0.96262
23.658,7.1,0.95573
25.407,6.8,0.84952
25.796,6.6,0.8154
27.766,5.8,0.61141
28.675,5.8,0.61779
28.712,5.8,0.61404
28.717,5.7,0.59126
29.657,5.5,0.54411
29.659,5.5,0.55357
30.652,5.6,0.5626
30.733,5.6,0.5669
30.734,5.5,0.56016
30.759,5.6,0.57524
30.76,5.6,0.57377
30.761,5.6,0.56395
30.78,5.6,0.5808
31.372,5.6,0.56631
31.645,5.4,0.52436
31.655,5.3,0.51224
31.657,5.4,0.5215
36.35,5.1,0.47905
41.478,5.4,0.60917
44.339,4.9,0.44107
45.694,4.7,0.40607
45.695,4.7,0.40366
45.715,4.7,0.39977
46.715,4.8,0.41123
46.73,4.7,0.39617
46.739,4.7,0.39574
47.713,4.8,0.41285
48.742,4.8,0.41369
49.679,4.9,0.42783
49.698,4.9,0.44481
49.718,4.9,0.43324
51.669,5.1,0.46375
51.713,5.1,0.46566
52.451,5.1,0.46683
52.613,5,0.4501
52.621,4.9,0.43881
53.698,5.1,0.46829
53.717,5.1,0.46693
55.719,5.1,0.4791
56.72,5.2,0.48794
58.726,5.1,0.47866
59.697,5.1,0.46719
61.658,5,0.44944
61.675,5,0.44541
67.396,5,0.45211
68.373,5.7,0.58897
71.428,5.4,0.52952
74.449,6.4,0.74391
146.3,NaN,NaN
