mjd,Fratio,Fratio_unc,filterid,mag,mag_unc
58580.44206793342,4.662626371165618e-09,6.360845357045877e-10,1.0,20.82842346085028,0.14811823953386738
58581.4807233999,2.984844857398661e-08,9.086674725043049e-10,1.0,18.81269559293341,0.03305274545638529
58582.43962384993,3.9637620257384664e-08,6.916037063887585e-10,1.0,18.50473106836992,0.018944103568661906
58583.40815970022,3.9246087676942495e-08,1.3302176573284447e-09,1.0,18.51550907564087,0.03680024064203875
58584.469076975016,3.4568966882613134e-08,4.94199619588164e-10,1.0,18.653283998633476,0.015521737203967146
58586.448028533254,2.4284977421658485e-08,5.504113994163555e-10,1.0,19.03665573991258,0.024607870679960175
58587.46580150002,2.132129203096972e-08,6.075798544807457e-10,1.0,19.177966203508742,0.03093956240237373
58588.47942129988,1.751135758652039e-08,6.362054022542769e-10,1.0,19.391700458680656,0.039445898781822204
58591.373987299856,1.3450225072806032e-08,1.8302488236343002e-09,1.0,19.67817612055545,0.1477423166362796
58592.47835069988,1.585465934753581e-08,1.521765884872789e-09,1.0,19.499607711918593,0.10421140436732088
58593.48414354981,1.2290940149829317e-08,1.9246935374482338e-09,1.0,19.776037240247884,0.17002031017949132
58596.47814237501,9.031173414444303e-09,6.702005311847247e-10,1.0,20.110639546057257,0.08057214137772804
58597.47275459999,6.1498433450490355e-09,1.0246275328730826e-09,1.0,20.527839867166044,0.18089488567670758
58599.27655090019,6.510250798875619e-09,4.620043037968876e-10,1.0,20.4660057012102,0.07704999621105045
58612.40157404984,1.9354798065385306e-09,3.864516699545242e-10,1.0,21.78302838862624,0.21678581612755948
58616.46880495001,2.163502771951566e-09,3.113400531226946e-10,1.0,21.662106360080987,0.15624346409397452
58580.48417247494,4.401263229380829e-09,5.626840695358793e-10,2.0,20.891056641277864,0.13880707294612105
58581.43079285021,2.1143299216019245e-08,9.809326582402503e-10,2.0,19.187068110273003,0.0503721813043325
58582.45163963331,3.131401517858117e-08,5.698662661348766e-10,2.0,18.760653105622264,0.019758706556295455
58584.40089120002,3.32802670411821e-08,7.316484524489866e-10,2.0,18.694532993960607,0.023869316102425885
58585.419137750054,3.154363758163998e-08,7.478734586583229e-10,2.0,18.75272056425362,0.025741904006519687
58586.41005399994,2.709872897998555e-08,6.773940329699921e-10,2.0,18.917627696238682,0.027140432565152528
58587.4221720666,2.4648446635786037e-08,1.2280126640609971e-09,2.0,19.02052611274817,0.05409256936040537
58588.430038600076,2.292344093879294e-08,6.472523519250667e-10,2.0,19.099300479352458,0.030656187872329908
58589.34892359981,2.5380104763117462e-08,4.640353178071426e-09,2.0,18.988766473929733,0.1985097971549014
58591.45252892503,1.887140244898771e-08,9.018037810355814e-10,2.0,19.31048955891148,0.051883850037368305
58592.38795139998,1.6389724307356468e-08,1.9670985129972237e-09,2.0,19.46357087916112,0.1303103111336865
58593.43151620015,1.679963000733131e-08,8.90974094578444e-10,2.0,19.43675070752222,0.05758238910995397
58596.39287327498,1.3430730323126851e-08,6.337171800320336e-10,2.0,19.67975092762078,0.05122950646646722
58597.404969133284,1.1533401646569377e-08,6.003726696213161e-10,2.0,19.845106458898083,0.05651813434842499
58598.3610069002,1.0359022640921822e-08,8.80722636727643e-10,2.0,19.961703044314206,0.0923091382451261
58599.48464119993,1.0317444130542109e-08,5.574200750347474e-10,2.0,19.966069685424394,0.05865901952719552
58600.471527799964,9.28425139978017e-09,8.674923166051923e-10,2.0,20.080632770481316,0.101447900851765
58605.43330149993,5.102815656161388e-09,3.729351293152876e-10,2.0,20.730475301665,0.07935014690073225
58607.3705401,5.286979698533014e-09,4.2249449860382143e-10,2.0,20.691980893096364,0.08676363436246652
58608.403278350015,5.549245882450145e-09,6.532641164730813e-10,2.0,20.639415078834347,0.12781421431825118
58612.45493922499,3.231550695167591e-09,3.2921301509459677e-10,2.0,21.226472566660366,0.110608968660246
58616.41165797494,4.204477976383524e-09,3.3945724653067137e-10,2.0,20.940719795176253,0.08765916353850736
58617.33799770009,3.920116312863724e-09,6.17930399747403e-10,2.0,21.016752617343318,0.17114528077262742
58627.39109665004,2.3317772315622524e-09,4.605040035482626e-10,2.0,21.580782356614165,0.21442265681333222
58635.351831574924,1.6651765499568743e-09,2.957944108816026e-10,2.0,21.94634928436232,0.1928652556796908
58581.51626159996,1.6802059730580233e-08,2.6504495900404426e-09,3.0,19.436593689317235,0.17127001837493608
58586.51592590008,2.5646113130390938e-08,1.9473260778573694e-09,3.0,18.97744611575029,0.08244065736004046
58596.38222219981,1.3646605098392852e-08,2.0112917069673974e-09,3.0,19.66243843939926,0.16002018149125294
58637.82630303543,1.234201334228212e-09,1.8209995696815517e-10,2.0,22.271534971072846,0.16019470298892508
58642.31187982163,1.1011015896896752e-09,1.7391193810819049e-10,2.0,22.395431525898747,0.17148507404928323
