ra,dec,fid,jd,diffimg,mag_alert
264.1947646,50.5478184,2.0,2458586.9937847,ztf_20190413493785_000763_zr_c14_o_q3_scimrefdiffimg.fits,18.92804718017578
264.1947747,50.5478169,2.0,2458582.9533796,ztf_20190409453345_000763_zr_c14_o_q3_scimrefdiffimg.fits,18.854883193969727
264.1947822,50.5478165,2.0,2458588.9035764,ztf_20190415403576_000763_zr_c14_o_q3_scimrefdiffimg.fits,19.102397918701172
264.1947826,50.5478229,2.0,2458582.9295486,ztf_20190409429549_000763_zr_c14_o_q3_scimrefdiffimg.fits,18.776119232177734
264.1947761,50.5478304,1.0,2458586.9247222,ztf_20190413424688_000763_zg_c14_o_q3_scimrefdiffimg.fits,18.981544494628906
264.1947576,50.547826,1.0,2458581.9866551,ztf_20190408486620_000763_zg_c14_o_q3_scimrefdiffimg.fits,18.84230613708496
264.1947402,50.5478312,2.0,2458588.9558218,ztf_20190415455822_000763_zr_c14_o_q3_scimrefdiffimg.fits,19.206005096435547
264.1947628,50.5478186,2.0,2458582.9719907,ztf_20190409471968_000763_zr_c14_o_q3_scimrefdiffimg.fits,18.818668365478516
264.1947591,50.5478107,2.0,2458584.9086458,ztf_20190411408646_000763_zr_c14_o_q3_scimrefdiffimg.fits,18.756162643432617
264.1947564,50.5478038,2.0,2458581.9068403,ztf_20190408406840_000763_zr_c14_o_q3_scimrefdiffimg.fits,19.202970504760742
264.1947157,50.5478193,2.0,2458593.8312847,ztf_20190420331285_001799_zr_c05_o_q2_scimrefdiffimg.fits,19.50602149963379
264.1947262,50.5478162,1.0,2458583.9081597,ztf_20190410408137_000763_zg_c14_o_q3_scimrefdiffimg.fits,18.47930335998535
264.1947272,50.547815,2.0,2458597.9053935,ztf_20190424405370_000763_zr_c14_o_q3_scimrefdiffimg.fits,19.898395538330078
264.19476,50.5478343,1.0,2458584.9947454,ztf_20190411494745_000763_zg_c14_o_q3_scimrefdiffimg.fits,18.682754516601562
264.1947459,50.5478481,1.0,2458587.9721875,ztf_20190414472188_000763_zg_c14_o_q3_scimrefdiffimg.fits,19.196805953979492
264.1947341,50.547860299999996,2.0,2458591.9531134,ztf_20190418453113_000763_zr_c14_o_q3_scimrefdiffimg.fits,19.389007568359375
264.1947092,50.5478305,2.0,2458587.9279861,ztf_20190414427963_000763_zr_c14_o_q3_scimrefdiffimg.fits,19.13707160949707
264.1947887,50.5477825,2.0,2458599.9846412,ztf_20190426484097_000763_zr_c14_o_q3_scimrefdiffimg.fits,20.022014617919922
264.1948032,50.5477768,2.0,2458593.9329861,ztf_20190420432963_000763_zr_c14_o_q3_scimrefdiffimg.fits,19.386756896972656
264.1948261,50.5477475,2.0,2458596.8282755,ztf_20190423328275_000763_zr_c14_o_q3_scimrefdiffimg.fits,19.7957820892334
