,jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fmcmc_low_3sigma,Fmcmc_low_2sigma,Fmcmc_low_1sigma,Fmcmc_high_3sigma,Fmcmc_high_2sigma,Fmcmc_high_1sigma,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid
0,2458076.9360301,b'r',3.786,32.7485154397259,26.0,0.0002702815,0.0,576.0,3.0,3.0,2.0,247.20642,-17.2734988,0.0082293,169.5904388,4.8,0.0,0.0,6.15621308031082,-0.738963782787323,ztf_20171119436018_000576_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20171119436018_000576_zr_c03_o_q3_diffimgpsf.fits',-33.063193452416925,34.134487459465625,-135.77737333740924,-101.5849017132023,-67.1853462219961,69.63831112684885,35.50579200480368,1.0836286969351505,-1.3162694394804607e-09,1.3589184615829994e-09,2458155.908321759,2458186.8920486113,5760332.0
1,2458079.0340394,b'r',2.472,6.80443336156459,26.0,0.0003373244,0.0,576.0,3.0,3.0,2.0,273.557858,-20.1599184,0.0823037,146.6567383,1.5,0.0,0.0,9.458795289993281,1.6917115449905396,ztf_20171121534039_000576_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20171121534039_000576_zr_c03_o_q3_diffimgpsf.fits',-40.339061298211256,43.14842215821721,-171.73644926514734,-127.20249536725575,-83.71091184727099,89.38570834506996,45.55490678023865,2.5859324691634233,-1.6059269556214956e-09,1.7177696983864331e-09,2458155.908321759,2458186.8920486113,5760332.0
2,2458089.0390509,b'r',2.238,7.1844265699547,26.0,0.0001372979,0.0,576.0,3.0,3.0,2.0,38.2342855,9.4455967,0.9345524,29.6452236,1.3,0.0,0.0,7.1864336339950565,-0.6285481452941895,ztf_20171201539051_000576_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20171201539051_000576_zr_c03_o_q3_diffimgpsf.fits',-35.253685437296184,30.506625152766635,-127.3194920531518,-96.29504320185382,-65.724260700853,56.296499896742304,25.571709359731237,-4.711010395319725,-1.4034744961025002e-09,1.214490635238139e-09,2458155.908321759,2458186.8920486113,5760332.0
3,2458091.028206,b'r',2.214,4.67295395777299,26.0,0.0002183178,0.0,576.0,3.0,3.0,2.0,67.7078403,16.7992063,0.9996567,2.1233854,1.3,0.0,0.0,23.66004566574096,-1.2708507776260376,ztf_20171203528206_000576_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20171203528206_000576_zr_c03_o_q3_diffimgpsf.fits',-49.76874282338177,97.02870188259868,-343.30433868477985,-244.0808577550522,-147.03220169844417,245.7560510945217,144.96806563753563,47.025202066753195,-1.9813293387421174e-09,3.862782217441325e-09,2458155.908321759,2458186.8920486113,5760332.0
4,2458091.048912,b'r',2.485,4.11141706880738,26.0,0.0003412115,0.0,576.0,3.0,3.0,2.0,68.0136378,16.8240286,0.9997451,1.8296326,1.2,0.0,0.0,28.49703528499603,7.316107273101807,ztf_20171203548912_000576_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20171203548912_000576_zr_c03_o_q3_diffimgpsf.fits',-129.54527929113823,124.55355877648964,-501.1997573930231,-377.08774172529263,-254.3226922251469,250.34932187549543,119.76891669855868,-5.215574672167648,-5.157290459715756e-09,4.95856675157169e-09,2458155.908321759,2458186.8920486113,5760332.0
5,2458092.020081,b'r',2.381,7.15141474707381,26.0,0.0002934803,0.0,576.0,3.0,3.0,2.0,83.4690776,18.912778,-0.9893177,348.1351624,1.3,0.0,0.0,9.912776758193967,-1.533634901046753,ztf_20171204520081_000576_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20171204520081_000576_zr_c03_o_q3_diffimgpsf.fits',11.729579814353059,45.21496044298607,-125.35050982587794,-78.51398724556304,-33.279255894314645,149.68642890389313,102.58195473996606,57.150664991657486,4.669629831673508e-10,1.800040001290044e-09,2458155.908321759,2458186.8920486113,5760332.0
6,2458096.0187847,b'r',4.656,7.04031002093124,26.0,0.0002441086,0.0,576.0,3.0,3.0,2.0,146.0612305,13.7445358,-0.6963247,293.1194458,1.3,0.0,0.0,10.67936629652977,3.674900770187378,ztf_20171208518773_000576_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20171208518773_000576_zr_c03_o_q3_diffimgpsf.fits',-111.64096724516135,87.07908293664846,-372.8472485528599,-285.16867976235136,-198.36456111629386,148.319380107755,63.12025832561655,-24.206395242996933,-4.444506958782681e-09,3.4666808762495925e-09,2458155.908321759,2458186.8920486113,5760332.0
7,2458096.0231713,b'r',3.282,7.19766683247704,26.0,0.0002557285,0.0,576.0,3.0,3.0,2.0,146.1003457,13.7289367,-0.6958755,293.0635071,1.3,0.0,0.0,9.614548514366149,-1.2850840091705322,ztf_20171208523160_000576_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20171208523160_000576_zr_c03_o_q3_diffimgpsf.fits',37.35723679405713,55.92574632293608,-131.8475694909808,-74.15884073146215,-18.398276956431896,206.43633516054143,149.43343159032463,93.45321568944026,1.4872183839779072e-09,2.2264440905277448e-09,2458155.908321759,2458186.8920486113,5760332.0
8,2458096.0457755,b'r',3.025,7.27765095491283,26.0,0.0002702609,0.0,576.0,3.0,3.0,2.0,146.3026004,13.646116,-0.6934581,292.7627563,1.2,0.0,0.0,10.477911115837099,-1.9988924264907837,ztf_20171208545776_000576_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20171208545776_000576_zr_c03_o_q3_diffimgpsf.fits',86.40882251508431,56.48284529074691,-83.76791375468147,-26.928902251225594,29.689580359335622,256.78706022060015,199.734866699335,142.65527094082944,3.4399971842339516e-09,2.2486227353884737e-09,2458155.908321759,2458186.8920486113,5760332.0
9,2458096.9464005,b'r',3.469,3.41972916348447,26.0,0.0160698259,0.0,576.0,3.0,3.0,2.0,159.3342358,10.1973317,-0.5965909,281.1385498,1.9,0.0,0.0,137.30985973968504,-31.572306632995605,ztf_20171209446250_000576_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20171209446250_000576_zr_c03_o_q3_diffimgpsf.fits',163.50733397239514,821.8410418325977,-2314.9029508025546,-1478.8066664026765,-656.3461638046329,2660.6770357299733,1807.893222921251,987.3359198605627,6.509344209249589e-09,3.271822303089589e-08,2458155.908321759,2458186.8920486113,5760332.0
