date,jdobs,filter,absmag,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2019 Jun 01,2458635.6933,g,-12.75,19.16,0.11,20.84,P48+ZTF,3,None,True,True,0.967142879962921
2019 Jun 01,2458635.7357,r,-14.74,17.17,0.05,20.64,P48+ZTF,3,None,True,True,0.935714304447174
2019 Jun 02,2458636.7064,r,-14.73,17.18,0.05,20.59,P48+ZTF,1,None,True,True,0.948571443557739
2019 Jun 02,2458636.7064,r,-14.73,17.18,0.05,20.59,P48+ZTF,1,None,True,True,0.948571443557739
2019 Jun 02,2458636.7073,r,-14.71,17.20,0.04,20.56,P48+ZTF,3,None,True,True,0.955714285373688
2019 Jun 02,2458636.7487,g,-12.63,19.28,0.12,20.44,P48+ZTF,3,None,True,True,0.932857155799866
2019 Jun 02,2458636.7496,g,-12.61,19.30,0.12,20.47,P48+ZTF,1,None,True,True,0.931428551673889
2019 Jun 02,2458636.7496,g,-12.61,19.30,0.12,20.47,P48+ZTF,1,None,True,True,0.931428551673889
2019 Jun 03,2458637.6931,r,-14.65,17.26,0.06,20.53,P48+ZTF,3,None,True,True,0.948571443557739
2019 Jun 03,2458637.7145,g,-12.70,19.21,0.10,20.66,P48+ZTF,3,None,True,True,0.965714275836945
2019 Jun 04,2458638.7057,g,-12.70,19.21,0.10,20.48,P48+ZTF,3,None,True,True,0.89857143163681
2019 Jun 04,2458638.7276,r,-14.63,17.28,0.05,20.46,P48+ZTF,3,None,True,True,0.954285740852356
2019 Jun 05,2458639.6753,r,-14.51,17.40,0.05,20.56,P48+ZTF,1,None,True,True,0.944285690784454
2019 Jun 05,2458639.6762,r,99.0,99.0,99.0,20.56,P48+ZTF,3,None,True,True,None
2019 Jun 05,2458639.6915,i,-15.45,16.46,0.03,19.82,P48+ZTF,2,None,True,True,0.815714299678802
2019 Jun 05,2458639.7291,g,-12.67,19.23,0.10,20.57,P48+ZTF,3,None,True,True,0.961428582668304
2019 Jun 08,2458642.6983,g,-12.47,19.44,0.12,20.40,P48+ZTF,1,None,True,True,0.945714294910431
2019 Jun 08,2458642.7237,r,-14.43,17.48,0.04,20.49,P48+ZTF,1,None,True,True,0.938571453094482
2019 Jun 09,2458643.7285,i,-15.39,16.52,0.02,19.50,P48+ZTF,2,None,True,True,0.871428549289703
2019 Jun 12,2458646.6899,g,-12.53,19.38,0.19,19.25,P48+ZTF,1,None,True,True,0.551428973674774
2019 Jun 12,2458646.7259,r,-14.35,17.56,0.06,19.31,P48+ZTF,1,None,True,True,0.912857115268707
2019 Jun 15,2458649.6747,g,-12.26,19.65,0.26,19.26,P48+ZTF,1,None,True,True,0.731428980827332
2019 Jun 15,2458649.7175,r,-14.17,17.74,0.05,19.53,P48+ZTF,1,None,True,True,0.947142839431763
2019 Jun 18,2458652.7501,i,-15.23,16.68,0.03,19.24,P48+ZTF,2,None,True,True,0.848571419715881
2019 Jun 18,2458652.7756,r,-14.02,17.89,0.08,19.29,P48+ZTF,1,None,True,True,0.955714285373688
2019 Jun 21,2458655.7367,g,99.0,99.0,99.0,20.14,P48+ZTF,1,None,True,True,None
2019 Jun 24,2458658.6790,r,-13.73,18.18,0.07,20.39,P48+ZTF,1,None,True,True,0.958571434020996
2019 Jun 24,2458658.7057,g,-12.05,19.86,0.13,20.57,P48+ZTF,1,None,True,True,0.901428580284119
2019 Jun 27,2458661.6979,r,-13.66,18.25,0.07,20.34,P48+ZTF,1,None,True,True,0.947142839431763
2019 Jun 27,2458661.7280,g,-11.91,20.00,0.17,20.23,P48+ZTF,1,None,True,True,0.907142877578735
2019 Jul 03,2458667.7285,r,-13.37,18.54,0.12,20.03,P48+ZTF,1,None,True,True,0.961428582668304
2019 Jul 06,2458670.7062,g,99.0,99.0,99.0,19.92,P48+ZTF,1,None,True,True,None
2019 Jul 09,2458673.7071,r,99.0,99.0,99.0,19.83,P48+ZTF,1,None,True,True,None
2019 Jul 10,2458674.7343,r,99.0,99.0,99.0,99.0,P60+SEDM,None,SDSS,True,True,None
2019 Jul 12,2458676.6745,g,99.0,99.0,99.0,19.45,P48+ZTF,1,None,True,True,None
2019 Jul 12,2458676.6942,r,99.0,99.0,99.0,19.49,P48+ZTF,1,None,True,True,None
2019 Jul 13,2458677.6742,g,99.0,99.0,99.0,19.48,P48+ZTF,3,None,True,True,None
2019 Jul 13,2458677.7039,r,-12.97,18.94,0.12,19.68,P48+ZTF,3,None,True,True,0.90285712480545
2019 Jul 15,2458679.6739,g,99.0,99.0,99.0,19.45,P48+ZTF,1,None,True,True,None
2019 Jul 15,2458679.7028,r,-12.87,19.04,0.18,19.41,P48+ZTF,1,None,True,True,0.838571429252625
