phase,Lbb,Lbb_unc,Lbb_uncr,Lbb_uncl,lgLbb,lgLbb_unc,lgLbb_uncr,lgLbb_uncl,Tbb,Tbb_unc,Tbb_uncr,Tbb_uncl,Rbb,Rbb_unc,Rbb_uncr,Rbb_uncl
-10.25,1.8170258772890813e+42,8.332373687364832e+42,1.584381484040387e+43,8.20932534325794e+41,42.25936111238444,0.6243556680062845,0.9876502612831715,0.26106107472939755,16881.412040307692,16017.043456462645,27164.804049614646,4869.282863310642,2542.8703930138727,1283.722218918185,1188.9079625770883,1378.5364752592818
-9.239999999990687,5.77938705411069e+41,1.2206515258184134e+41,1.6397767363961143e+41,8.015263152407124e+40,41.761881780785046,0.08665610819528169,0.10847317818216595,0.06483903820839743,9454.586640011572,1746.270311800511,2125.0712004118286,1367.4694231891935,4565.211539431803,1200.406530215048,1277.5986886735045,1123.2143717565914
-8.349999999991269,4.167669379917179e+41,1.0146367962761379e+41,1.4730483865532066e+41,5.562252059990691e+40,41.619893259194356,0.09682673222465255,0.13144111113360424,0.06221235331570085,8755.236201506197,2160.5918613209947,2767.5159170470088,1553.6678055949806,4499.506772818289,1634.8383424506076,1789.3064402299706,1480.3702446712446
-4.437499999992724,3.90258315348707e+41,4.956325382168748e+39,4.9842465319077446e+39,4.9284042324297515e+39,41.5913521654733,0.005515491670596617,0.005511540165478834,0.0055194431757144,5853.895845732905,96.93212035166016,98.918294115756,94.94594658756432,9814.582555418525,352.9843463602465,357.1437540377865,348.8249386827065
-3.1933333333290648,4.409705584297998e+41,8.321622892295227e+39,8.33676048219622e+39,8.306485302394234e+39,41.64440959459639,0.008196329286850101,0.008133898417298724,0.008258760156401479,5254.330351543804,114.87935980016755,116.3200127853388,113.4387068149963,12945.332669036412,625.662097172949,644.1265733706823,607.1976209752156
2.7600000000093132,5.64830986426761e+41,8.673731442848438e+40,1.036946981564075e+41,6.977993070056125e+40,41.7519185139379,0.06523405319598297,0.07319958346183597,0.05726852293012996,4237.948903462246,389.6983443505869,403.11046830538544,376.2862203957884,22505.010409675633,5899.527004598964,6924.2273209936175,4874.82668820431
3.6000000000058208,5.038570783534595e+41,1.537660738258602e+40,1.5539292907671048e+40,1.5213921857500993e+40,41.702307364054946,0.013253545160551994,0.013191547070505294,0.013315543250598694,4313.9924830970585,86.82532700578531,87.51118270117695,86.13947131039367,20537.043340281707,1065.1250155397574,1094.4856312926859,1035.764399786829
4.725000000005821,5.698283217186893e+41,1.1090106698681256e+41,1.2887930069790187e+41,9.292283327572324e+40,41.75574403082917,0.08293158030672743,0.08855145030324252,0.07731171031021233,3953.826877672317,337.05914607568616,351.393640268062,322.72465188331034,25984.98651479702,6931.90301902881,8013.7336472215175,5850.072390836103
6.639999999999418,5.531449661137266e+41,1.455708295239313e+41,1.808008458611801e+41,1.1034081318668251e+41,41.74283896445595,0.1097261556590503,0.12282503220533414,0.09662727911276647,3576.6120828008134,346.7289170719339,350.683590299554,342.7742438443138,31260.522639149312,10360.887667803112,12746.68932342188,7975.086012184343
7.5975000000034925,3.6636463489288905e+41,3.7144905413945615e+40,4.003504436757083e+40,3.42547664603204e+40,41.563913544657,0.04383578797403587,0.04503981186427097,0.04263176408380076,4009.4678874193733,220.4111174448808,228.12503465887494,212.69720023088666,20262.08695501225,3165.2578011229853,3431.213754037064,2899.3018482089064
8.68428571428376,3.66732347100366e+41,1.0537779133877549e+40,1.0845504263888458e+40,1.0230054003866639e+40,41.56434921797158,0.012472091541628316,0.012657292780495766,0.012286890302760867,3807.2800497344333,64.97688973086565,65.40602615688749,64.54775330484381,22496.041499626932,1065.204092962671,1097.9555694088413,1032.4526165165007
9.605000000003201,3.616476626211722e+41,2.0366925469878395e+40,2.144726474425125e+40,1.928658619550554e+40,41.558285662536946,0.024411009130378858,0.025020738906349038,0.023801279354408678,3748.998772117704,121.67112557167138,124.23794769665255,119.10430344669021,23035.22705810555,2097.319454666347,2205.519700497909,1989.1192088347852
12.62000000000262,1.7897286376246756e+41,2.0715213781991585e+40,2.5340472842769774e+40,1.6089954721213395e+40,41.25278718733958,0.04921059957111851,0.0575095289013845,0.040911670240852516,4155.718347738515,523.8013038572374,588.7839358279634,458.8186718865113,13140.398152410356,4013.991734934565,4577.230061084729,3450.7534087844015
14.510000000002037,1.835039464063806e+41,4.0335617421159353e+40,5.5628733113950455e+40,2.504250172836825e+40,41.263645408555874,0.08935765959319397,0.11499352166087107,0.06372179752551688,3858.54592623141,776.0058452817996,893.5985990027593,658.4130915608398,15359.64311745366,8045.047672051551,10205.107296349404,5884.988047753697
18.5,1.2321070855617976e+41,5.641556721609757e+40,9.249292719072307e+40,2.0338207241472077e+40,41.090648455107235,0.16077908280841413,0.24320901021557262,0.07834915540125564,5086.818440239307,2865.783732674615,4351.812232962688,1379.755232386542,6762.06699767652,5708.3318586938785,7194.706602113862,4221.9571152738945
19.540000000000873,1.0057343464378066e+41,8.53865931181702e+39,1.0069538787632574e+40,7.007779836001465e+39,41.0024832818015,0.03640368862059873,0.04144055673415892,0.03136682050703854,4356.703816913632,479.8425858893827,530.7228756315471,428.96229614721824,8961.959002869311,2308.759117643209,2583.123183015752,2034.3950522706655
36.640000000006694,6.673083179378635e+40,3.415309867208374e+40,5.068185968725676e+40,1.7624337656910718e+40,40.82432653832597,0.18928805699241025,0.2453885052830529,0.1331876087017676,3399.785718088966,907.4173127493768,1086.6736703252127,728.160955173541,11911.318791525187,9862.064827448052,13666.21168929026,6057.917965605843
